OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
323,LOCAL,LOCAL,BDU,CABDU,CDFLWC,CDF,DPA ID:  BDU_001  LOCAL to CDFLWC,4698960.44458008,44852.7953805508
324,LOCAL,LOCAL,KRN,,,KRN,,1916262.22480011,10393.1255417055
325,LOCAL,LOCAL,KRN,,,KRN, ,648151.273200989,4025.88374898796
326,LOCAL,LOCAL,LAC,CALAC,,LAC,,73418.7278709412,1923.50971286707
327,LOCAL,LOCAL,LNU,CALNU,CDFLWC,CDF,Tiburon/Angel Island LWC,3099278.58473349,8872.6746036138
328,LOCAL,LOCAL,LOCAL,,,LOCAL,,327829.338012695,19066.7610799855
329,LOCAL,LOCAL,LOCAL,,,LOCAL,,258688.776008606,54473.104394146
330,LOCAL,LOCAL,LOCAL,,,LOCAL,2/7/2020 Change from SRA to LRA from parcel shift,4591.13513507694,354.353850704452
331,LOCAL,LOCAL,LOCAL,,,LOCAL,20_1 change to LRA - Cloverdale Annexation,12820.1467247009,463.911317431506
332,LOCAL,LOCAL,LOCAL,,,LOCAL,"20_1 Change to LRA - Redding Annexation,  (Adj)",260230.728580475,2488.91828672637
333,LOCAL,LOCAL,LOCAL,,,LOCAL,20_1 Change to LRA - Yorba Linda Annexation,349305.247955322,3148.62177007947
334,LOCAL,LOCAL,LOCAL,,,LOCAL,2020 SRA Review: SRA to LRA,156255262.39198,246598.627654722
335,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 1/8/2020,517000.722335815,7183.23245225492
336,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 11/16/2020,3533856.95608115,14674.1096213215
337,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 11/20/2020,347978.414566517,4078.09213566465
338,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 11/21/2019,200235.27734375,1855.66686952013
339,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 11/29/2020,139529.995540619,3840.41332001647
340,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 12/16/2020,98303.3774957657,1450.27531762648
341,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 3/18/2021,2213.28899860382,215.615042964316
342,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 3/29/2021,586424.760612488,4830.84434910791
343,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 4/29/2021,191872.619769096,1912.34501847416
344,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 7/20/2021,68715.9465484619,1266.00109210588
345,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 7/21/2021,46120.7661590576,858.760686249551
346,LOCAL,LOCAL,LOCAL,,,LOCAL,Annexation effective 9/29/2020,40546.7705719471,1319.70364018744
347,LOCAL,LOCAL,LOCAL,,,LOCAL,annexation: 8/24/2020,2689862.35388184,6860.66133532314
348,LOCAL,LOCAL,LOCAL,,,LOCAL,Big Bear Lake annexes 11/23/15,25972.7466659546,2702.84444881961
349,LOCAL,LOCAL,LOCAL,,,LOCAL,Error fix - Incorporated city boundary,5.25231170654297,10.5639066930808
350,LOCAL,LOCAL,LOCAL,,,LOCAL,Error fix.,180884.001969337,12910.4795391594
351,LOCAL,LOCAL,LOCAL,,,LOCAL,Error fix. ,1362760.70800757,45829.2014591942
352,LOCAL,LOCAL,LOCAL,,,LOCAL,Error Fix. ,146.604621887207,50.8542560454288
353,LOCAL,LOCAL,LOCAL,,,LOCAL,Error fix. Alignment to incorporated city boundary,15645393.8896272,75780.2366889627
354,LOCAL,LOCAL,LOCAL,,,LOCAL,No longer CDFLWC,82473937.2341882,409263.177164285
355,LOCAL,LOCAL,LOCAL,,,LOCAL,,834594.940759182,22200.4764585674
356,LOCAL,LOCAL,LOCAL,,,LOCAL,American Canyon annex 7/30/15,158799.890690804,1771.10038953886
357,LOCAL,LOCAL,LOCAL,,,LOCAL,Arcata annex 3/16/16,1306908.50253296,6828.04606374202
358,LOCAL,LOCAL,LOCAL,,,LOCAL,Arroyo Grande annex 8/21/14,195959.490659714,2893.80312420787
359,LOCAL,LOCAL,LOCAL,,,LOCAL,Bishop incorporated/LRA parcels,353872.640907288,3331.4153636761
360,LOCAL,LOCAL,LOCAL,,,LOCAL,Escondido annex 4/21/15,4044.83126831055,344.245545995507
